"Barcodes"	"P7"	"P3"	"B6"	"Nude"	"ThreeD"
"BRDN0003498631"	-0.294066032437679	-0.267112540765395	-0.350418770982735	-0.335152365857841	-0.0133355092063445
"BRDN0003499600"	-0.901604160030024	-0.515940593304872	-0.760105696981393	-0.729056914087738	-0.174040238194324
"BRDN0003499598"	-0.287089799472546	-0.287261265976657	-0.30223218771519	0.0840278218844878	-0.673119839125344
"BRDN0003504119"	-0.24407331676034	-0.386442821630981	-0.58029610420009	-0.588845135951614	-0.53292752365242
"BRDN0003511058"	-0.303574824828078	-0.376162624142819	-0.398814401951459	-0.569984906108026	-1.05608387304356
"BRDN0003508543"	-0.0294743849804466	0.0337442350948912	-0.305408452116488	-0.0549479951636761	0.297011247276921
"BRDN0003494017"	-0.300694427528683	-0.331048311421149	-0.421553236332009	-0.17057680364452	-1.09242955998729
"BRDN0003497874"	-0.153244221614144	-0.144861331257859	-0.106334292056632	-0.297812751281302	-0.59067473922303
"BRDN0003496059"	-0.227559172825254	-0.365725877750871	-0.749442515615822	-0.576248611709447	-0.46226490230165
"BRDN0003507078"	-0.0302313558520096	-0.00663840185983032	-0.0487347719696879	0.0271403307282564	-0.0494090067608333
"BRDN0003493494"	-0.0127608273719977	0.000879089228017069	0.0629240225510586	-0.123567034400448	0.282062402456551
"BRDN0003505984"	0.148977973547257	0.135582633054137	-0.145686313880453	0.0905255358924451	-0.129104715506171
"BRDN0003497849"	-0.0888762423257127	-0.037440697873123	-0.0997005808383003	0.132053368622463	0.29299603466952
"BRDN0003495355"	-0.0167701716107488	-0.0483088112613886	0.0029514955492767	0.0437085758095132	-0.0148331329979681
"BRDN0003511406"	-0.00977551071779997	0.0359760871870543	0.0277284738512443	0.0233650965101611	0.214653601284455
"BRDN0003498724"	-0.149570596051068	-0.314789189454878	-0.434247117475065	-0.450681854448392	-1.14013123955729
"BRDN0003495331"	-0.147034916683114	-0.160417288141401	0.112333475427001	-0.145144215823947	-0.376218551608986
"BRDN0003500900"	-0.162149598111613	-0.218862577885654	-0.364625041530428	-0.483690567436046	-0.434049772673573
"BRDN0003502708"	-0.1129367238889	-0.0828546026995447	-0.202245846285353	-0.143075132016845	-0.142119066298781
"BRDN0003499742"	0.00340856732968895	-0.0287060770266851	0.0948078291665647	-0.0921357326661396	0.36172463075139
"BRDN0003505408"	-0.117575909498809	-0.162544341890137	0.0541718168776272	-0.193726285365672	-0.793531035286825
"BRDN0003505698"	-0.0497220557528157	-0.0136873413047156	0.154888887297023	-0.0140419808575715	0.141265918663633
"BRDN0003511710"	0.0414202364961392	0.0347426635677003	0.094420737368381	-0.0705760488181539	-0.0615200028061733
